0-x,0-y,1-x,1-y,2-x,2-y,3-x,3-y,4-x,4-y,5-x,5-y,6-x,6-y,7-x,7-y,8-x,8-y,9-x,9-y,10-x,10-y,11-x,11-y,12-x,12-y,13-x,13-y,14-x,14-y,15-x,15-y,16-x,16-y,17-x,17-y,18-x,18-y,19-x,19-y,20-x,20-y,21-x,21-y,22-x,22-y,23-x,23-y,24-x,24-y,25-x,25-y,26-x,26-y,27-x,27-y,28-x,28-y,29-x,29-y,30-x,30-y,31-x,31-y,32-x,32-y,33-x,33-y,34-x,34-y,35-x,35-y,36-x,36-y,37-x,37-y,38-x,38-y,39-x,39-y,40-x,40-y,41-x,41-y,42-x,42-y,43-x,43-y,44-x,44-y,45-x,45-y,46-x,46-y,47-x,47-y,48-x,48-y,49-x,49-y,50-x,50-y,51-x,51-y,52-x,52-y,53-x,53-y,54-x,54-y,55-x,55-y,56-x,56-y,57-x,57-y,58-x,58-y,59-x,59-y,60-x,60-y,61-x,61-y,62-x,62-y,63-x,63-y,64-x,64-y,65-x,65-y,66-x,66-y,67-x,67-y,68-x,68-y,69-x,69-y,70-x,70-y,71-x,71-y,72-x,72-y,73-x,73-y,74-x,74-y,75-x,75-y,76-x,76-y,77-x,77-y,78-x,78-y,79-x,79-y,80-x,80-y,81-x,81-y,82-x,82-y,83-x,83-y,84-x,84-y,85-x,85-y,86-x,86-y,87-x,87-y,88-x,88-y,89-x,89-y,90-x,90-y,91-x,91-y,92-x,92-y,93-x,93-y,94-x,94-y,95-x,95-y,96-x,96-y,97-x,97-y,98-x,98-y,99-x,99-y
28.03574753,297.3746643,106.6292038,484.2203064,449.9372253,274.5828552,269.0782166,549.5582275,149.554657,493.2596436,519.1663208,176.3828125,11.00983047,533.8053589,135.5919952,564.8572388,165.5488281,530.2019653,326.5089417,140.8152313,246.7660522,380.9980469,120.22155,194.6627808,114.9269333,547.8850708,270.4340515,410.3790588,797.0480347,403.4350586,326.6669006,489.3727722,265.1670837,87.41368103,137.0155792,174.1148682,238.7453308,109.5786285,721.2800293,491.5365601,330.4206848,408.9735718,377.006073,651.4469604,185.0247498,417.3230896,783.3979492,474.0892944,19.94334984,550.9920044,735.0041504,271.4759521,329.6298218,421.7038574,1002.592285,325.555481,7.426843643,590.0505371,727.2075195,606.517334,9.982431412,360.5041809,138.3954926,367.2029724,667.1103516,85.22904205,69.42936707,156.6296997,939.4912109,57.26509476,54.35097122,112.5627975,181.4170837,262.5417786,280.5150146,338.8042297,914.0477905,29.98847389,484.3271484,183.2622681,82.36429596,183.1396332,617.1157837,510.4903259,899.1055908,475.1701965,116.3552246,260.7845764,909.3286743,159.5651855,154.9619751,575.8030396,305.8494873,285.8758545,103.7696991,185.9489288,60.19449997,420.6808472,860.6737061,345.2025757,382.5480652,456.5745239,142.4497375,619.0716553,192.3159332,580.9946899,118.8306046,199.2563324,783.805542,657.0603027,117.5422974,514.5744629,32.27411652,620.012207,160.1562195,522.0238647,774.8231812,648.9508667,539.4825439,623.9872437,114.9438095,593.0970459,518,573.5,404.2307129,306.175293,197.2884216,23.25661469,276.2746582,643.1234131,131.0294647,398.3659973,650.5820923,654.3772583,65.08438873,520.4620361,704.7540283,482.203125,47.02510452,651.4423828,79.94652557,517.574646,200.098938,180.1708679,219.4318237,654.4050293,266.0405579,349.7271729,157.1262512,279.5881348,56.645504,182.4867706,34.43893433,26.01571846,503.0991516,300.0631409,139.3299713,327.8476563,50.78319931,423.7471313,791.7871094,192.2299652,285.7455139,138.6870728,15.99228001,611.6114502,84.89946747,198.7308197,268.3210144,659.1523438,134.2431793,526.1917114,236.4962463,600.4682007,22.16569901,465.0375977,655.494812,594.9763794,326.2135925,559.6618042,377.4384155,51.27524948,31.43141747,541.324585,374.7446594,648.6947632,160.90979,472.9112549,502.7409058,145.6156769,23.00201607,487.3145142,90.14028168,592.3441162,188.1843414,129.6250763,63.70629501,476.3704224,44.48469925,492.2669373
72.32150269,75.76239777,166.1994324,124.4570007,185.8605499,85.5565567,321.2150574,429,6.683921814,469.5686035,695.6696167,508.1339722,749.9887085,499.5795593,173.9228516,508.288147,8.733376503,381.7556152,831.1035767,222.5195007,373.3239136,310.6051636,435.0823669,328.4316101,37.21517944,366.6314697,672.9317017,118.7167511,982.3868408,81.99230957,172.8622742,445.803009,394.6772461,74.86243439,579.2150269,146,217.572052,530.3190918,76.1037674,183.3351898,190.5105591,43.34300613,509.0985107,511.2312622,327.3467407,401.0774536,965.765564,166.1696777,230.2729492,167.7183228,125.8080215,150.0375061,211.5764465,105.8523102,154.7754211,32.81972122,425.0345764,381.501709,824.3851318,531.9396973,165.8405457,64.83580017,32.1012001,3.790538549,38.43943405,76.97981262,295.4231873,658.8696289,988.895813,303,76.4123764,221.9223785,128.5542297,137.9787292,330.2922058,187.7504883,770.3779297,649.6228027,920.3205566,53.36695862,353.8974915,319.5445251,46.93167877,430.568573,172.191925,23.07422829,14.52527428,94.5092926,59.98456192,656.3909302,4.455652237,315.9075317,24.04639053,649.9033203,11.1303463,301.3285522,121.9370499,204.4784698,148.8598175,77.1219101,465.9404602,419.7602844,69.87729645,560.0360107,12.27198982,407.0755005,12.35483837,170.7526855,426.9942322,653.5249023,49.5308342,447.8533325,49.45203018,129.8558044,287.130249,396.3049622,217.5105743,640.8980713,682.6931763,618.3549194,282.1114807,394.40271,299.3611145,271.0899048,18,233.7849426,238,403,77.55570984,631.4447021,78.453125,287.046875,499.2368774,653.8787842,873.2050171,654.3440552,176.2065887,655.2575073,542.2490845,616.5297241,157.7004089,330.1871338,182.0027771,210.9510803,56.97094345,446.1576843,830.1375732,91.67724609,37.72341156,8,768.0709229,660.0506592,1007.904968,431.2002869,640.9983521,442.2789917,675.7764893,60,178.8530731,370.4722595,4.361708164,52.31219101,251.440979,89.68445587,12.70660496,205.7542267,102.7402649,312.0314331,281.1776123,640.0759277,123.994194,464.3805542,350.7314148,461.7314453,40.48299789,26.76227188,597.416687,549.5196533,182.2312927,301.9325867,159.979248,448.0062256,97.49010468,281.0074158,924.7521362,581.203064,813.3175659,654.4495239,158.6750641,68.32089996,224.5666504,133.4843903,500.0321655,241.4806976,777.9870605,90.26638031,256.3190918,169.5095825,70.18067932,413.2580261
231.8574066,54.96067429,108.6328583,29.06321144,7.445275784,42.00758743,895.828186,649.5153198,463.6186218,227.5221252,965.5325317,423.0004578,224.03302,483.9212646,167.3284149,93.1517334,175.8972778,81.89234924,846.5947266,378.9784241,216.4941101,581.1107178,552.578125,244.1041718,619.4769897,8.503874779,561.6196289,119.182373,30.0399437,280.6589355,316.997406,366.066925,381.9031067,659.4019165,517.5657349,653.3081665,35,230,232.3380127,317.9920044,139,635.2150269,292.4417114,398.0323486,286.426178,50.09633255,924.3603516,156.7659912,401.2913818,16.15112877,844.5041504,5.199317932,594.6772461,291.8624268,131.678009,434.9822083,974.3615112,282.4313965,9.09141922,509.588623,42.42614746,468.3300476,388.1805725,251.7297363,81.67724609,12.67724895,28,295.7849426,172.0583344,629.381897,108.3680115,656.9238281,117.3732834,474.9244385,161.8981171,10.89202309,232.9540863,613.9301758,119.7095108,196,389.5630798,373.0052185,203.911911,345.8280945,169.8528595,119.5254593,229.6858826,101.7074966,916.5391235,212.6817017,186.1662292,131.9823608,746.9156494,645.8778687,586.5385132,164.0955811,585.079895,237.2605286,884.4983521,194.9389343,42.08744812,351.5744629,96.49887085,492.6776123,388.9641418,388.4560547,291.1699829,651.8511353,326.7848816,630.9033813,37.91996765,201.160202,40.03745651,636.3878174,189,274.5,756.6972046,636.2053833,571.2277222,572.1900635,60.545784,164.6922607,229.9421539,209.3653717,938.4705811,380.3235168,252.3227539,151.8624268,976.5966187,587.3424683,26.09795952,629.9751587,970.8465576,635.2996216,447.0601807,647.5758057,344.9734802,604.4293823,838.7086182,586.6958008,70.57324982,406.0871277,417.0365601,657.5021973,122.1720428,211.5086823,535.788208,659.6917114,639.9968262,614.6031494,856.9564209,652.9037476,290.7199402,92.63472748,427.8110352,460.3336487,113.0848465,521.4863281,52.50217819,313.3652954,254.0032501,160.2635651,48.74700546,395.8562012,80.12870026,169.6375275,99.62039948,131.1042175,54.4732666,590.4533691,185.3351593,135.4189911,788.5016479,268.152832,385.7733154,203.0232697,33.831707,502.0787354,331.2243347,85.3098526,718.4229736,554.9632568,140.879364,32.95975113,351.3374329,547.1109009,150.470871,627.7355957,372.5740356,440.6741028,363.1375732,361.6772461,323.548584,75.86524963,264.5960083,63.05381012,508.5072021,153.9263153,100.5830917,276.9685669
791.5787354,120.9086304,542.902832,581.1003418,185.9038849,644.4549561,260.7266846,647.1794434,783.708313,241,101.115799,219.5085144,103.8694382,269.7457581,243.4901123,77.74743652,575.7089844,590.6772461,15.72061157,650.3805542,651.5719604,248.9760132,277.6772461,21.86243439,28.03618622,598.5977173,9.894018173,13.16970253,228.0150452,355.2969666,287.4349976,64.00376892,636.4988403,650.9194336,944.9769287,645.3910522,133,47,664.03125,409.6875,602.395813,659.5310059,30.33167076,141.8954926,790.8223267,87.62143707,52.86648178,14.76618385,436.4243164,223.1913452,450.7236328,131.4935455,125.4021149,493,125.2150574,264,52.62568665,149.792511,987.8572998,480.8344421,859,427,578.8624268,509.6772461,48.91365433,643.5889893,295.3879089,658.6671143,841.8291016,587.3762207,1007.736084,491.9169922,219.7311859,237.6513977,472.5930481,3.872754097,346.8569946,602.1504517,632.56604,611.4320679,485.1375732,213.6772461,527.7943726,73.82952118,401.4446106,421.0601807,22.13490868,64.41190338,407.4676819,306.053894,58.64218521,563.7194214,539.4975586,630.8723755,52.99668503,154.3023834,167.0345459,306.8088379,170.2150574,513,655.6827393,523.8565063,56.52359009,392.0192566,411.0619507,168.2762909,414.1243896,646.4581909,578.5296631,611.2883911,264.5141296,64.7370224,398.4925842,653.9466553,125.2887573,30.24057007,104.1603165,617.3218384,115.0786285,538.6931763,393.0313721,644.9954224,131.3881989,69.10850525,830.4468994,627.5272827,588.7949219,654.8007202,63.52104187,562.5648193,502.6773376,627.3835449,878.553894,631.5477295,133.2535095,643.1554565,17.29585075,599.8693237,513.0575562,573.0454712,56.32870483,323.7130127,875.7963257,644.2044678,673.8840332,337.368866,415.0053711,658.6035767,781.1889648,586.6536255,687.8765869,650.5835571,319.5848999,114.0424118,27.5,459.0625,28.68728828,489.4090881,107.3227539,63.86243439,3.050173283,232.2118225,35.66580963,380.8832703,638.9309692,629.8135986,738.7023315,98,437.612915,574.8190918,769.7761841,430.0269775,26.02920341,208.5911865,250.9004822,76.48579407,87.59054565,51.55478668,577.109375,41.46763992,366.2150574,470,15.88705254,551.180542,813.5636597,487.8720398,129.027298,612.5883179,449.6207581,300.8640747,618.7999878,649.6281128,292.6047363,27.01936722,210.4526062,151.4477539,96.91854095,125.0854568,674.4683838,168.0587769
174.8624268,425.3227539,188.3227539,318.8624268,198.8518219,340.2964783,830.5800171,618.4073486,84.64516449,80.75268555,180,305,58.56050873,257.0446472,214.5407104,341.0961609,744.7412109,645.432251,692.2114258,636.4391479,133.5805359,83.6478653,449.3474731,462.9875793,29.25003433,92.96600342,24.39683151,157.690033,834.512085,657.4196167,93.39968109,653.77771,651.2258911,644.0056152,439.411438,621.3145142,634.2960205,655.6444702,246.85849,652.0941772,138.9570313,635.1978149,7.843365192,28.40572548,192.8607025,205.7562256,49.5280304,610.7052002,948.7346802,655.6654053,340.2329712,378.0964966,216.4723206,646.4093628,993.8433838,650.8135986,952.3842773,209.1010742,359.6044617,466.415863,358.4033203,117.0213623,653.5979004,340.7248535,149.0276642,634.8684082,608.8414307,635.973877,976.447937,560.3959351,108.378746,656.6572266,66.8004837,353.3587646,229.9702606,619.9520874,104.2867584,595.427124,30.38852119,599.0938721,225.2627716,654.4250488,344.5340576,12.04256439,705.2030029,659.6741943,636.2578125,659.6499023,60.13240433,656.241333,977.3764648,506.2619934,953.4589233,617.4639282,364.5371399,649.2869873,111.7876663,330.1213074,46.59255219,653.1482544,75.33355713,498.4976501,33.82614899,509.1521301,479.5621643,217.9883728,535.8106079,627.7371216,682.5804443,553.9418335,246.5967712,645.9677124,865.9090576,648.4320068,176.9366455,596.5412598,230.6622009,578.9842529,486.5221863,529.8446045,714.4812012,223.216156,302,317.2150574,1008.882141,619.4478149,127.9498825,616.2528687,353.8635254,529.6184692,156.0338135,604.9995117,868.4221802,606.7220459,678.1327515,637.9660645,338.677002,566.8483887,851.5582275,566.3966675,121.9774246,657.5988159,198.7428284,594.2958374,261.6875,414,784.6459351,599.2543945,473.8908386,558.0129395,880.1589966,644.4875488,843.9519043,657.1026001,761.1393433,657.229187,539.7730713,562.2754517,337.2150574,27,99.32076263,508.8427734,214.6772461,79.13756561,210.0012207,626.1013794,277.669342,140.8007355,827.3869629,566.6890869,483.6666565,445.8989868,110.2461624,116.3512421,526.7832642,225.5126038,209,109.2852097,247.2115479,124.374176,471.3509216,655.5006714,72.47058868,192.6764679,729.2171021,461.9690552,673.9160767,598.7667847,99.37153625,389.9230347,681.0715332,631.4814453,41.22922516,650.6465454,504,446.7849426,99.47058868,551.6764526,700.9728394,426.4906006
117.8136902,620.9000854,746.9967041,145.5690308,279.0163574,219.0541992,206.8243256,614.7498779,634.7472534,647.2425537,516.2150269,389,129.1717377,94.65124512,365.5070496,212.6946716,283.9762878,632.1375732,171.003479,612.6244507,481.9685669,655.9234619,266.3227539,600.8624268,620.5197144,227.0555115,370.7237244,626.9456177,715.4024658,639.2341309,742.2047729,659.7227173,278.0429077,593.1738892,660.8515015,616.2028809,720.2381592,636.817688,570.517334,644.3913574,248.3744812,598.7631226,12.96774197,287.5967712,668.6765137,651.5093384,618.6767578,560.7990723,542.6276855,648.7476196,339.3583374,499.1208801,17.60527992,616.5507202,836.9509888,572.215271,903.3945313,98.02915955,396.4591064,449.4711914,348.5588379,196.5,631.5335083,657.0501099,133.9491425,634.1242065,487.4852905,633.4212646,221.5350952,493.7903442,133.0359497,632.0401611,24.39422989,613.9134521,275.0306091,537.6209106,1008.525513,579.5267334,96.56491089,593.3314819,103.1228485,651.7971191,260.4086304,463.9926453,671.4228516,635.6038208,260.7826538,639.6333008,160.2274628,614.8308105,247.3227539,432.1375732,540.734436,608.4315796,787.1367188,647.8809814,687.6083984,637.8356934,435.9289856,635.1724243,774.105835,49.8941803,428.5967712,413.1290283,266.4302979,551.8633423,115.1514816,605.8230591,203.6868286,546.0444946,412.1698303,560.1226807,627.767395,648.9193115,11,586,652.3580322,574.6074219,179.6359863,520.1737671,108.97686,132.613739,754.9697266,113.4090881,984.3877563,562.6828613,691.3648682,607.9061279,148.5618744,521.8843994,265.8877563,600.7987671,90.2794342,597.9285278,424.3608398,635.3112793,749.9360962,550.8905029,125.2886505,464.4897461,146.3803101,630.6962891,312.7945557,578.4428101,419.7352295,15.32667732,14.76890755,588.3795166,402.466156,544.8808594,754.8884277,613.0081177,372.1538391,656.8864746,417.5602417,651.0356445,1004.58728,657.7990112,507.602417,264.9553833,855,331.6875,948.1235352,650.0565796,16.10716629,611.5635986,875.5719604,603.1918945,174.3153992,557.0292969,101.4857178,273.4142761,523.9396973,413.8649902,426.7849426,429,709.3078003,91.95761108,756.9605713,536.3178711,670.7445068,632.0415039,171.0018005,47.01927185,883.2338867,458.2198792,90.49813843,589.0184326,693.9521484,271.4851685,285.3370361,630.8881836,401.3125,86,21.20806885,279.2366943,179,193.2150574,534.0196533,245.3318024
839.5621948,618.7240601,925.2073975,520.992981,38.67724991,321.8624268,727.5159302,610.0481567,1009.764587,641.4220581,192.1470947,637.5525513,247.0208893,39.77997971,16.00264168,505.7767029,956.9805298,629.9918823,972.6325073,586.7322388,467.5582886,638.2246094,122.2190094,150.2738342,707.8154907,535.5878906,888.9955444,622.8237915,884.5185547,623.3999634,93.61367798,653.5853882,317.9031067,591.833252,237.5289917,609.7387695,26.21939278,596.5532837,606.1311035,609.0253296,312.1746826,574.3812256,973.9242554,139.5454559,243.2042694,632.4448242,500.5335388,511.6062317,747.6502686,640.9180298,616.5913696,556.779541,415.0283203,610.6326294,583.6937256,570.4152222,273.8602295,598.2957153,356.6960754,288.7795105,249.9363861,659.1729736,451.1063232,642.6124878,40.46899796,611.6613159,341.3086548,600.4105225,932.4542847,472.8617554,177.6686249,619.8530884,760.7284546,610.9437866,734.3227539,449.8624268,71.06921387,560.855896,951.5812378,558.5804443,212.8254242,641.2098389,536.2471313,405.6108398,545.0405273,634.9604492,127.0532455,610.4846802,353.3497314,611.1972046,156.4263306,650.4307251,670.8840942,603.5338745,865.2911987,644.6183472,852.5447998,636.5839233,553.585144,624.2958374,112.8624344,478.3227539,92.02734375,656.8820801,166.6146545,657.1652832,802.5286865,605.0256958,649.4343872,507.1203613,246.694931,645.9589233,423.7354431,643.7745361,346.0482788,651.5706177,729.9850464,559.3845825,202.4264832,497.2447205,392.9642639,644.99646,110.0566101,655.1929321,433.2450256,559.871582,942.81073,605.9927368,289.8110657,506.9243774,278.4056702,599.5339966,612.6851196,587.2417603,578.5724487,614.5769653,354.0917969,533.1231689,139.0092621,453.7010193,463.7807922,595.4754028,765.1032715,489.6679688,47.75724411,657.5211182,608.954834,540.18396,776.9312744,542.8265991,410.7946167,605.1820068,222.2009583,641.8689575,193.0328979,640.0426636,3.33687973,649.6682739,44.43997574,65.2144928,520.2814331,625.0306396,884.3294067,593.0020142,693.4388428,589.6055298,836.506958,558.7836304,162.1375122,520.5871582,607.1309814,649.3699951,434.8958435,532,525.791687,87.10416412,307.8624268,389.3227539,31.55919647,420.9573364,333.5756836,631.9776611,313.9944763,98.77077484,53.96583557,368.0649719,554.0922241,583.3673706,328.6386108,388.7939148,197.0853882,629.4034424,922.1375732,204.1851807,602.6289063,645.9419556,152.684082,658.9199829,140.2112579,65.57691193
528.1550293,606.1517944,912.8630371,631.7451782,839.027832,647.62677,542.6893921,606.7681274,240.6727905,631.4190063,788.2033081,635.6657104,769.2958374,31.76829529,13.04200268,342.3365479,388.5870056,627.3500977,212.6910706,584.7753906,451.6539917,629.9126587,969.3996582,646.2993774,356.0256653,532.6185303,444.4016418,517.3396606,522.0300903,620.2774658,323.4687805,630.0202637,11.8030138,589.3949585,931.616272,599.8295288,339.5376587,550.7748413,528.6453857,584.4237671,574.5708008,569.8397827,132.3304291,656.5606689,608.4351196,629.9290161,690.1126709,498.4552917,197.6253815,619.1977539,82.74172211,448.2763062,107.6144714,599.2180786,256.6921082,556.1501465,343.4087524,631.7038574,295.3242188,201.8248901,510.5372009,612.4152832,886.1704102,631.4480591,460.4905701,578.4005737,196.016861,581.8005371,483.4546814,435.9343262,407.0143433,606.7862549,306.0164795,606.1361694,968.5723267,202.7899323,544.8116455,558.8606567,211.2384338,523.8729248,951.8155518,624.5762329,249.030304,535.5908813,743.5419312,634.0147095,766.6708984,602.1941528,1006.219727,586.6741333,420.0455017,618.8736572,718.2498169,594.4497681,324.5324097,610.5548096,10.527915,635.744751,194.2145386,624.4408569,51.85569382,655.3404541,203.8670197,651.159729,601.1004028,652.2265625,519.6334839,576.3376465,665.7102051,490.6008301,341.7362976,637.9299927,929.282959,638.0269775,907.7632446,621.1015015,621.4578857,511.2287292,280.0285339,412.2569275,114.9399261,592.9609375,490.1035461,646.8844604,320.7935181,545.9038086,861.0463867,602.1045532,126.3666077,379.8623657,90.18605042,590.5087891,497.1694336,569.7171631,532.1453857,591.2805176,279.8327637,533.7496338,954.9931641,352.6175232,119.6067505,587.4706421,190.3859406,482.4233704,503.2764282,655.0933228,543.9805298,514.8044434,659.2230835,540.9890747,683.6018677,600.6906738,383.5672607,613.9130249,99.72973633,638.1306763,360.028717,629.3662109,518.3303833,656.65625,174.2121429,612.9849854,275.3979797,591.2290649,395.2471008,590.1427612,786.9038696,557.0953369,237.3304443,434.7827454,813.9981079,640.4898071,334.3393555,655.9171753,659.7904663,643.6011353,278.7266235,653.5203247,244.9945831,555.3591919,263.9992371,627.8786621,128.4294434,646.6864014,198.9962921,365.8317261,492.1959839,571.8808594,745.4126587,641.9823608,697.0916748,625.2276001,541.2041626,35.32167435,904.5734863,633.1281128,105.7304993,656.6074829,147.5967712,507.9677429
481.1589966,600.31073,526.5358276,615.5439453,186.0826569,644.5377197,83.96178436,593.7177734,459.8187561,625.7249146,761.2822876,613.4447632,282.0926208,518.3589478,202.1960754,370.5441284,631.2650146,621.3913574,847.5459595,579.9736938,386.1283264,604.7627563,894.9368286,602.2059937,739.7730713,519.0526123,941.838501,515.1376343,629.5758667,599.3775635,370.3009338,599.9308472,144.2365723,581.2455444,154.6705475,578.8855591,136.5821686,544.3745728,891.0841675,569.6448975,391.0444946,539.1289673,376.85672,651.4736938,448.2168884,600.0386353,909.6773682,486.418457,240.0341339,612.9736938,626.2312012,633.8967896,665.368103,512.2514648,491.5966187,538.2803955,709.5772095,600.6271973,155.3714905,185.7634125,505.0488586,585.9536743,664.2407837,629.2672119,562.7189941,562.8675537,445.8764648,551.4096069,238.749588,433.1156311,388.8843384,563.7970581,152.2211609,593.7053833,833,169,930.6116943,553.1676636,507.8143921,492.5720825,8.537138939,595.1480713,608.5928345,152.9583435,324.8529663,622.7695313,438.0740356,573.9649048,526.9072266,552.9040527,481.654541,590.1497192,123.9406433,584.4234619,409.6096802,596.312561,806.6547241,620.7172852,912.493042,613.1376343,121.3331223,644.154541,902.1870117,650.3146973,374.2182617,651.956543,506.1026306,529.5797119,909.4136963,464.2597961,233.9627228,635.4029541,109.3132172,630.6167603,321.8935547,612.5307007,252.4926605,491.5777893,575.3155518,411.6087036,793.2971191,553.5325928,865.9639893,630.2475586,400.3503418,513.855835,650.2381592,584.4637451,684.6593628,366.6704102,378.789032,581.7593994,70.84244537,554.1148682,873.541687,588.9398193,615.9158936,488.0952454,571.7485962,288.8254089,623.3704834,585.8528442,342.1356506,471.7554321,219.3814697,654.3374634,425.6647644,501.8012085,696.2196045,515.3166504,482.9458313,589.8133545,360.0541382,578.8181152,995.8344116,630.885498,81.23110962,622.9013062,225.763504,646.343689,379.1552429,611.427063,450.997406,588.9223633,200.6590271,584.3973999,846.2868042,540.7290039,396.1974487,429.4645996,484.9501343,632.5844727,662.8608398,649.9622803,744.0066528,605.1035156,1000.145386,641.6251221,274.7418518,622.7705078,468.0553589,578.5326538,925.3242188,633.107666,17.46024132,287.93573,855.1630859,561.8175659,429.1850891,631.2984619,179.5379944,613.5593262,41.44561386,650.6273193,774.4726563,600.5963135,39.722435,653.1213989,136.7917938,659.6087646
472.4264832,573.1005249,310.831543,606.5074463,133.1933441,640.4645996,312.517395,571.4293213,926.7039795,617.5435791,110.261055,585.7166748,590,100.7849426,272.013031,191,433.9030762,618.7212524,591.7955322,578.6726074,216.4429169,581.1037598,266.4808655,600.7354126,664.0773926,453.1832275,685.6408691,501.9532471,611.6621704,588.7366333,755.5731812,598.0166016,284.5492554,572.9885254,738.0629272,549.8897705,217.2593536,530.3044434,609.602478,546.3978882,165.2621918,518.1240234,851.076416,631.4963989,271.9355469,574.7980957,675.8955688,486.3661194,19.87832642,550.9679565,616.6461792,556.680603,125.5044479,493.2149353,813.003479,532.480835,273.7950745,598.1617432,668.496521,171.645813,404.784668,534.4123535,569.5608521,615.4337769,94.8328476,540.4527588,358.6436157,549.3305054,617.5314941,409.322937,78.75540924,560.2396851,951.5527954,540.7832031,501.4685974,641.9750366,664.5345459,535.6098633,860.1355591,477.5670166,362.3809814,588.00177,727.338501,658.3291626,770.116394,603.4362183,420.2846375,572.6408691,938.7949829,546.9561768,617.3018188,586.0178833,758.0516968,513.8794556,398.7547607,569.4327393,725.6807861,616.4295654,578.4523926,593.4499512,615.2955933,604.4690552,670.0575562,619.8686523,557.4367676,649.2276001,326.0444336,522.7883301,520.3545532,459.5230408,859.8061523,633.9069824,459.2107544,625.0405273,176.9527435,596.4290771,582.2915039,490.586792,197.2790222,392.8313599,842.2032471,548.7642822,365.1742859,597.0020142,767.1869507,503.5509033,319.6257935,579.2312012,847.7900391,338.4108887,576.7359009,573.9498901,966.7316895,542.6801758,157.3111877,569.9827271,704.5856934,482.2090454,367.4327393,279.7534485,547.1969604,557.2957764,342.6224976,450.1636963,526.0008545,648.1300049,48.88064575,459.0389099,666.9086304,501.0689392,876.7007446,566.2741089,868.1146851,544.253418,782.2473145,586.9170532,448.0054626,620.5647583,122.2395859,640.364563,964.2804565,598.8936768,187.2860413,566.2846069,544.4910278,563.2615356,886.9108887,524.5408936,724.4882813,418.75,870.4718628,630.4301147,416.7366943,563.0671997,789.5567017,598.8185425,627.2127075,620.5059814,63.95052719,605.7642212,763.3843994,567.4440308,822.3070679,602.3278198,425.7973938,214.6689148,173.4397583,543.4855957,358.3493652,611.098999,78.18589783,578.7810059,791.8654785,642.7063599,770.4092407,545.4198608,446.2563171,651.4985352,771.3753052,655.0321045
