Gold Count,Image Number,Image Names
50,1,Set1_AL09_-6_0000.tif
54,2,Set1_AL09_-6_0001.tif
53,3,Set1_AL09_-6_0002.tif
42,4,Set1_AL09_-6_0003.tif
49,5,Set1_AL09_-6_0004.tif
50,6,Set1_AL09_-6_0005.tif
50,7,Set1_AL09_-6_0006.tif
50,8,Set1_AL09_-6_0007.tif
40,9,Set1_AL09_-6_0008.tif
39,10,Set1_AL09_-6_0009.tif
51,11,Set1_AL09_-6_0010.tif
54,12,Set1_AL09_-6_0011.tif
32,13,Set1_AL09_-6_0012.tif
28,14,Set1_AL09_-6_0013.tif
52,15,Set1_AL09_-6_0014.tif
60,16,Set1_AL09_-6_0015.tif
53,17,Set1_AL09_-6_0016.tif
43,18,Set1_AL09_-6_0017.tif
39,19,Set1_AL09_-6_0018.tif
47,20,Set1_AL09_-6_0019.tif
61,21,Set1_AL09_-6_0020.tif
49,22,Set1_AL09_-6_0021.tif
43,23,Set1_AL09_-6_0022.tif
49,24,Set1_AL09_-6_0023.tif
38,25,Set1_AL09_-6_0024.tif
40,26,Set2_AL09_-6_0000.tif
38,27,Set2_AL09_-6_0001.tif
42,28,Set2_AL09_-6_0002.tif
44,29,Set2_AL09_-6_0003.tif
36,30,Set2_AL09_-6_0004.tif
47,31,Set2_AL09_-6_0005.tif
41,32,Set2_AL09_-6_0006.tif
54,33,Set2_AL09_-6_0007.tif
53,34,Set2_AL09_-6_0008.tif
43,35,Set2_AL09_-6_0009.tif
53,36,Set2_AL09_-6_0010.tif
53,37,Set2_AL09_-6_0011.tif
44,38,Set2_AL09_-6_0012.tif
37,39,Set2_AL09_-6_0013.tif
43,40,Set2_AL09_-6_0014.tif
47,41,Set2_AL09_-6_0015.tif
46,42,Set2_AL09_-6_0016.tif
55,43,Set2_AL09_-6_0017.tif
49,44,Set2_AL09_-6_0018.tif
50,45,Set2_AL09_-6_0019.tif
42,46,Set2_AL09_-6_0020.tif
42,47,Set2_AL09_-6_0021.tif
64,48,Set2_AL09_-6_0022.tif
50,49,Set2_AL09_-6_0023.tif
43,50,Set2_AL09_-6_0024.tif
59,51,Set3_AL09_-6_0000.tif
63,52,Set3_AL09_-6_0001.tif
49,53,Set3_AL09_-6_0002.tif
53,54,Set3_AL09_-6_0003.tif
51,55,Set3_AL09_-6_0004.tif
60,56,Set3_AL09_-6_0005.tif
62,57,Set3_AL09_-6_0006.tif
57,58,Set3_AL09_-6_0007.tif
49,59,Set3_AL09_-6_0008.tif
47,60,Set3_AL09_-6_0009.tif
41,61,Set3_AL09_-6_0010.tif
43,62,Set3_AL09_-6_0011.tif
45,63,Set3_AL09_-6_0012.tif
61,64,Set3_AL09_-6_0013.tif
37,65,Set3_AL09_-6_0014.tif
60,66,Set3_AL09_-6_0015.tif
59,67,Set3_AL09_-6_0016.tif
54,68,Set3_AL09_-6_0017.tif
45,69,Set3_AL09_-6_0018.tif
29,70,Set3_AL09_-6_0019.tif
64,71,Set3_AL09_-6_0020.tif
48,72,Set3_AL09_-6_0021.tif
55,73,Set3_AL09_-6_0022.tif
54,74,Set3_AL09_-6_0023.tif
37,75,Set3_AL09_-6_0024.tif
53,76,Set4_AL09_-6_0000.tif
56,77,Set4_AL09_-6_0001.tif
46,78,Set4_AL09_-6_0002.tif
49,79,Set4_AL09_-6_0003.tif
57,80,Set4_AL09_-6_0004.tif
55,81,Set4_AL09_-6_0005.tif
58,82,Set4_AL09_-6_0006.tif
46,83,Set4_AL09_-6_0007.tif
41,84,Set4_AL09_-6_0008.tif
36,85,Set4_AL09_-6_0009.tif
58,86,Set4_AL09_-6_0010.tif
39,87,Set4_AL09_-6_0011.tif
56,88,Set4_AL09_-6_0012.tif
42,89,Set4_AL09_-6_0013.tif
48,90,Set4_AL09_-6_0014.tif
55,91,Set4_AL09_-6_0015.tif
61,92,Set4_AL09_-6_0016.tif
40,93,Set4_AL09_-6_0017.tif
52,94,Set4_AL09_-6_0018.tif
50,95,Set4_AL09_-6_0019.tif
54,96,Set4_AL09_-6_0020.tif
55,97,Set4_AL09_-6_0021.tif
53,98,Set4_AL09_-6_0022.tif
69,99,Set4_AL09_-6_0023.tif
51,100,Set4_AL09_-6_0024.tif
Task Comments:,"3.7x10_-6 , HCLAP:27, HLOG:18, MA:31, MCirc:79, MCONV:59, MINER:59, Part A",NA
